temperature,timestamp
15.82,2026-08-12 01:06:35.993876
15.82,2026-08-12 01:06:36.997945
15.82,2026-08-12 01:06:38.002964
15.82,2026-08-12 01:06:39.007828
15.82,2026-08-12 01:06:40.012637
15.82,2026-08-12 01:06:41.017487
15.82,2026-08-12 01:06:42.022481
15.82,2026-08-12 01:06:43.027349
15.82,2026-08-12 01:06:44.032467
15.82,2026-08-12 01:06:45.037407
15.82,2026-08-12 01:06:46.042334
15.82,2026-08-12 01:06:47.047058
15.82,2026-08-12 01:06:48.051972
15.82,2026-08-12 01:06:49.056975
15.82,2026-08-12 01:06:50.061890
15.82,2026-08-12 01:06:51.066646
15.82,2026-08-12 01:06:52.071520
15.82,2026-08-12 01:06:53.076642
15.82,2026-08-12 01:06:54.081617
15.82,2026-08-12 01:06:55.086660
15.82,2026-08-12 01:06:56.091481
16.12,2026-08-12 01:06:57.096279
16.90,2026-08-12 01:06:58.101144
17.79,2026-08-12 01:06:59.106018
18.19,2026-08-12 01:07:00.111084
18.28,2026-08-12 01:07:01.115804
18.28,2026-08-12 01:07:02.120778
18.28,2026-08-12 01:07:03.125628
18.19,2026-08-12 01:07:04.130668
18.09,2026-08-12 01:07:05.135172
18.09,2026-08-12 01:07:06.140404
17.89,2026-08-12 01:07:07.145555
17.79,2026-08-12 01:07:08.150482
17.69,2026-08-12 01:07:09.155402
17.69,2026-08-12 01:07:10.160011
17.59,2026-08-12 01:07:11.165375
17.79,2026-08-12 01:07:12.169776
18.38,2026-08-12 01:07:13.174761
19.07,2026-08-12 01:07:14.179609
19.47,2026-08-12 01:07:15.184660
19.96,2026-08-12 01:07:16.189513
20.75,2026-08-12 01:07:17.194616
21.15,2026-08-12 01:07:18.199442
21.25,2026-08-12 01:07:19.204654
21.25,2026-08-12 01:07:20.209584
21.25,2026-08-12 01:07:21.214083
21.15,2026-08-12 01:07:22.219395
21.05,2026-08-12 01:07:23.224045
20.95,2026-08-12 01:07:24.228848
20.85,2026-08-12 01:07:25.233681
20.65,2026-08-12 01:07:26.238537
20.55,2026-08-12 01:07:27.243419
20.46,2026-08-12 01:07:28.248616
20.26,2026-08-12 01:07:29.253574
20.16,2026-08-12 01:07:30.258227
20.06,2026-08-12 01:07:31.263339
19.96,2026-08-12 01:07:32.268334
19.96,2026-08-12 01:07:33.273443
19.86,2026-08-12 01:07:34.278330
19.76,2026-08-12 01:07:35.282719
19.67,2026-08-12 01:07:36.287654
19.57,2026-08-12 01:07:37.292563
19.47,2026-08-12 01:07:38.297485
19.47,2026-08-12 01:07:39.302503
19.37,2026-08-12 01:07:40.307551
19.27,2026-08-12 01:07:41.312453
19.27,2026-08-12 01:07:42.317358
19.17,2026-08-12 01:07:43.322285
19.17,2026-08-12 01:07:44.327382
19.07,2026-08-12 01:07:45.331851
19.07,2026-08-12 01:07:46.336714
18.97,2026-08-12 01:07:47.341884
18.97,2026-08-12 01:07:48.346659
18.88,2026-08-12 01:07:49.351588
18.78,2026-08-12 01:07:50.356489
18.78,2026-08-12 01:07:51.361471
18.78,2026-08-12 01:07:52.366218
18.78,2026-08-12 01:07:53.371097
18.68,2026-08-12 01:07:54.376418
18.68,2026-08-12 01:07:55.381016
18.58,2026-08-12 01:07:56.386278
18.58,2026-08-12 01:07:57.390923
18.58,2026-08-12 01:07:58.395623
18.58,2026-08-12 01:07:59.400830
18.48,2026-08-12 01:08:00.405444
18.48,2026-08-12 01:08:01.410534
18.48,2026-08-12 01:08:02.415561
18.48,2026-08-12 01:08:03.420515
18.48,2026-08-12 01:08:04.425157
18.38,2026-08-12 01:08:05.430378
18.38,2026-08-12 01:08:06.435408
18.38,2026-08-12 01:08:07.439998
18.38,2026-08-12 01:08:08.445332
18.38,2026-08-12 01:08:09.450324
18.38,2026-08-12 01:08:10.454578
18.38,2026-08-12 01:08:11.459611
18.38,2026-08-12 01:08:12.464378
18.38,2026-08-12 01:08:13.469492
18.38,2026-08-12 01:08:14.474431
18.38,2026-08-12 01:08:15.479482
18.38,2026-08-12 01:08:16.484148
18.38,2026-08-12 01:08:17.489426
18.38,2026-08-12 01:08:18.493784
18.38,2026-08-12 01:08:19.499545
